,researcher,skill_categories
38,"Downey, Austin","['J.7', 'I.5', 'J.3', 'I.5']"
39,"Dryer, Frederick  L. ","['K.8', 'H.5', 'E.2', 'H.5', 'G.1', 'D.2', 'I.2', 'G.2', 'H.3', 'G.3', 'D.4', 'G.1', 'D.2', 'H.5', 'H.5', 'I.2', 'K.4', 'K.4', 'J.2', 'E.3', 'C.2', 'I.2', 'G.3', 'I.6', 'E.3', 'D.3', 'J.2', 'I.2', 'H.5', 'D.3', 'K.1', 'G.2', 'G.1', 'D.3', 'G.3', 'I.2', 'H.4', 'I.2', 'K.4', 'K.4', 'G.1', 'J.2', 'I.4', 'D.2', 'K.4', 'K.4', 'J.2', 'I.2', 'J.2', 'C.2', 'C.2', 'H.2', 'E.3', 'H.3', 'H.2', 'K.4', 'K.4', 'K.6', 'F.1', 'I.2', 'I.2', 'H.3', 'D.3', 'I.2', 'K.8', 'K.8', 'I.2', 'J.3', 'K.6', 'I.2', 'J.2', 'F.3', 'F.3', 'H.5', 'G.2', 'D.2', 'D.2', 'D.3', 'C.2', 'K.1', 'E.3', 'H.3', 'H.3', 'H.5', 'H.2', 'I.2', 'G.3', 'J.2', 'C.2', 'G.2', 'D.2', 'E.3', 'H.5', 'C.5', 'B.7', 'G.3', 'G.2', 'J.2', 'J.2', 'D.3', 'J.2', 'J.2', 'I.3', 'H.5', 'H.2', 'J.3', 'J.2', 'E.3', 'H.5', 'I.3', 'K.8', 'C.2', 'K.4', 'B.7', 'E.3', 'J.6', 'G.1', 'D.2', 'I.4', 'D.2', 'I.2', 'J.2', 'G.2', 'C.2', 'C.2', 'C.2', 'D.4', 'I.2', 'F.1', 'K.4', 'K.4', 'K.8', 'K.8', 'I.2', 'H.2', 'J.3', 'D.3', 'D.2', 'H.2', 'I.2']"
40,"Eastman, Caroline M. ","['C.5', 'H.3', 'H.5', 'I.2', 'D.2', 'D.4', 'J.1', 'H.5', 'K.6', 'H.5', 'K.7', 'K.7', 'K.6', 'C.5', 'J.2', 'J.1', 'J.2', 'H.3', 'I.2', 'I.1', 'I.5', 'D.2', 'G.4', 'H.5', 'D.2', 'G.4', 'H.3', 'B.7', 'C.2', 'G.3', 'F.1', 'G.1', 'D.2', 'G.1', 'D.4', 'J.2', 'J.5', 'I.4', 'H.3', 'K.7', 'H.3', 'D.4', 'H.3', 'H.5', 'D.4', 'E.5', 'H.3', 'H.2', 'E.1', 'H.3', 'D.2', 'H.3']"
41,"Eberth, John F.","['F.3', 'A.0', 'A.0', 'I.2']"
42,"Ebner, Armin D.","['E.5', 'B.3', 'E.3', 'G.1', 'K.4', 'K.4', 'H.3', 'C.5', 'D.2', 'B.5', 'B.2', 'B.4', 'B.3', 'F.3', 'I.4', 'D.4', 'G.1', 'J.7', 'B.3', 'J.3', 'B.3', 'B.3', 'D.2', 'J.2', 'D.2', 'H.3', 'H.5', 'J.6', 'C.1', 'H.5', 'H.2', 'H.3', 'I.4', 'F.3', 'K.4', 'K.6', 'K.4', 'B.4', 'D.3', 'B.2', 'B.4', 'B.3', 'I.4', 'D.2', 'H.5', 'I.4', 'D.2', 'H.3', 'H.5', 'J.5', 'J.1', 'D.4', 'D.4', 'H.3', 'H.5', 'C.2', 'K.4', 'H.3', 'I.2', 'D.2', 'D.2', 'F.3', 'H.3', 'H.3', 'C.3', 'J.1', 'B.3', 'I.3', 'K.8', 'E.5', 'J.5', 'G.1', 'B.4', 'F.3', 'J.3', 'H.2', 'J.3', 'K.4', 'K.4', 'J.6', 'H.3', 'D.2', 'C.1', 'B.3', 'I.3', 'K.8']"
43,"Eslambolchi Moghadam, Sara","['H.5', 'I.2', 'E.3', 'D.4', 'K.6']"
44,"Fan, Daping","['G.1', 'H.2', 'J.3', 'C.2', 'C.2', 'I.2', 'I.2', 'A.0', 'K.4', 'I.2', 'D.2', 'E.3', 'H.3', 'C.2', 'C.2', 'B.6', 'A.0', 'D.2', 'D.2', 'H.5', 'J.2', 'D.2', 'D.2', 'F.1', 'I.4', 'E.2', 'J.1', 'C.2', 'C.2', 'D.4', 'K.6', 'I.2', 'I.2', 'G.1', 'G.1', 'F.1', 'J.6', 'B.3', 'J.6', 'K.4', 'K.4', 'F.4', 'B.6', 'J.1', 'I.2', 'H.5', 'I.5', 'J.6', 'B.4', 'D.2', 'B.6', 'D.3', 'B.4', 'J.2', 'H.4', 'I.2', 'H.2', 'D.4', 'K.6', 'H.2', 'B.7', 'H.5', 'F.3', 'H.5', 'H.4', 'B.3', 'H.5', 'D.3', 'C.2', 'D.2', 'G.1', 'C.5', 'B.7', 'I.2', 'D.3', 'D.2', 'C.2', 'C.2', 'B.6', 'D.4', 'G.3', 'K.4', 'I.2', 'E.1', 'H.5', 'D.3', 'B.4', 'B.6', 'F.4', 'I.2', 'G.2', 'K.6', 'D.3', 'H.2', 'J.2', 'G.1', 'E.1', 'H.5', 'C.2', 'J.2', 'B.5', 'F.1', 'D.2', 'C.2', 'C.2', 'I.2', 'I.2', 'I.7', 'K.4', 'K.5', 'F.2', 'D.2', 'H.5', 'J.1', 'D.4', 'D.3', 'K.1', 'D.2', 'I.4', 'B.6', 'H.5', 'I.2', 'I.2', 'D.3', 'H.2', 'F.1', 'I.4', 'I.2', 'J.1', 'I.4', 'I.2', 'H.5', 'H.5', 'D.3', 'C.2', 'F.4', 'C.2', 'C.2', 'H.2', 'B.6', 'K.4', 'K.4', 'H.5', 'K.6', 'D.3', 'C.0', 'I.2', 'I.2', 'F.1', 'G.1', 'H.5']"
45,"Farkas, Csilla ",['H.3']
46,"Farouk, Tanvir   I.","['G.2', 'A.0', 'H.3', 'I.4', 'D.2', 'C.1']"
47,"Fenner, Stephen A. ","['K', 'K', 'D.3', 'I.4', 'H.5', 'F.4', 'H.5', 'K.4', 'K.7', 'K.7', 'K.4', 'I.4', 'F.1', 'F.4']"
48,"Fiedler, Kirk","['J.1', 'K.3']"
49,"Flora, Joseph","['F.3', 'F.3', 'K.6', 'E.3', 'K.3', 'G.1', 'I.3', 'J.2', 'K.3', 'E.3', 'I.3', 'D.4', 'H.5', 'D.2', 'I.6']"
50,"Gadala-Maria, Francis","['J.2', 'H.2', 'D.4', 'H.3', 'I.7', 'I.3', 'E.3', 'D.3', 'C.2', 'J.2']"
51,"Gassman, Sarah","['C.0', 'J.2', 'I.5']"
52,"Gatzke, Edward P.","['K.3', 'K.3', 'H.5', 'H.1', 'I.2', 'B.1', 'D.2', 'B.2', 'B.4', 'B.3', 'H.2', 'C.0', 'G.1', 'C.2', 'F.1', 'F.4', 'H.3', 'H.5', 'D.2', 'F.3', 'G.1', 'I.3', 'D.3', 'G.1', 'H.2', 'H.5', 'D.2', 'G.1', 'D.3', 'G.1', 'I.6', 'G.1', 'D.1', 'F.3', 'I.4', 'F.1', 'F.3', 'G.1', 'J.2', 'D.2', 'D.3', 'G.1', 'C.2', 'F.1', 'F.3', 'H.3', 'K.4', 'G.1', 'G.1', 'I.5', 'C.1', 'J.5', 'G.1', 'I.2', 'D.2', 'H.4', 'H.3', 'D.4', 'G.1', 'I.2', 'H.5', 'J.2', 'D.3', 'G.1', 'B.5', 'F.4', 'H.5', 'B.4', 'G.1', 'G.1', 'I.5', 'C.1', 'E.4', 'H.1', 'K.5', 'A.0', 'H.5', 'I.2', 'H.1', 'G.3', 'H.3', 'I.5', 'H.5', 'G.1', 'B.5', 'D.2', 'H.2', 'I.3', 'K.8', 'F.3', 'D.4', 'I.3', 'K.8', 'J.5', 'I.5', 'B.7', 'H.3', 'D.2', 'G.3', 'H.3', 'H.1']"
53,"Gerdes, Jr., John H.","['E.3', 'D.4', 'K.6', 'F.4', 'K.3', 'B.4', 'F.3', 'G.1', 'G.1', 'G.1', 'H.2', 'H.1', 'B.3', 'K.5', 'K.4', 'H.4', 'J.2', 'D.2', 'H.2', 'B.4', 'K.6', 'H.4', 'H.3', 'H.2', 'H.5', 'G.1', 'G.1', 'H.2', 'E.3', 'J.2', 'H.2', 'K.1', 'H.4', 'F.3', 'D.2', 'B.2', 'B.4', 'B.3', 'H.2', 'C.2', 'K.4', 'K.6', 'H.4', 'D.2', 'J.6', 'J.2', 'B.2', 'B.4', 'B.3', 'H.3', 'J.2', 'K.3', 'C.2', 'K.6', 'K.4', 'K.6', 'I.4', 'C.2', 'E.3', 'I.4', 'I.1', 'I.3', 'I.6', 'G.1', 'I.5', 'G.2', 'F.1', 'H.0', 'I.0', 'B.6', 'F.3', 'D.1', 'A.0', 'C.1', 'B.2', 'I.6', 'H.3', 'K.3', 'D.4', 'B.3', 'I.3', 'B.5', 'I.4', 'B.7', 'C.2', 'B.1', 'G.2', 'K.7', 'G.0', 'I.5', 'D.3', 'H.4', 'K.6', 'K.5', 'F.0', 'B.4', 'F.4', 'I.7', 'C.0', 'F.2', 'B.0', 'I.1', 'H.1', 'E.0', 'D.2', 'H.5', 'C.5', 'K.4', 'J.0', 'H.2', 'G.1', 'K.0', 'K.8', 'D.0', 'I.2', 'D.2', 'B.3', 'C.2', 'F.4', 'D.3', 'D.4', 'I.4', 'C.1', 'H.5', 'I.5', 'C.1', 'H.5', 'D.3', 'H.3', 'H.3', 'H.3', 'I.4', 'G.1', 'C.4', 'G.1', 'H.1', 'F.1', 'H.0', 'I.0', 'B.6', 'F.3', 'D.1', 'A.0', 'C.1', 'B.2', 'I.6', 'H.3', 'K.3', 'D.4', 'B.3', 'I.3', 'B.5', 'I.4', 'B.7', 'C.2', 'B.1', 'G.2', 'K.7', 'G.0', 'I.5', 'D.3', 'H.4', 'K.6', 'K.5', 'F.0', 'B.4', 'F.4', 'I.7', 'C.0', 'F.2', 'B.0', 'I.1', 'H.1', 'E.0', 'D.2', 'H.5', 'C.5', 'K.4', 'J.0', 'H.2', 'G.1', 'K.0', 'K.8', 'D.0', 'I.2', 'K.6', 'I.4', 'I.2', 'I.4', 'B.2', 'B.4', 'B.3', 'H', 'E.3', 'G.1', 'I.2', 'B.7', 'K.1', 'K.6', 'D.4', 'K.7', 'J.6', 'H.5']"
54,"Gholizadeh, Sona","['C.2', 'J.2', 'C.4']"
55,"Gibbons, Joseph H.","['D.2', 'J.2']"
56,"Ginn, Herbert L.","['H.2', 'I.2', 'D.4', 'B.6', 'I.5', 'H.2', 'B.6']"
57,"Giurgiutiu (Jurjutzu), Victor","['F.3', 'I.4', 'I.3', 'J.3', 'I.5', 'J.4', 'F.3', 'D.2', 'C.1', 'C.2', 'C.2', 'E.3', 'I.5', 'D.2', 'J.2', 'F.4', 'D.3', 'C.1', 'F.1', 'B.4', 'J.7', 'C.3', 'A.0', 'C.5', 'D.2', 'C.2', 'K.6', 'F.3', 'H.5', 'K.4', 'J.2', 'G.1', 'G.1', 'J.2', 'E.3', 'H.5', 'K.3', 'K.3', 'J.2', 'J.2', 'J.4', 'B.3', 'I.4', 'I.1', 'I.3', 'I.6', 'G.1', 'I.5', 'G.2', 'F.1', 'H.5']"
58,"Glenn Jr., Odell","['D.3', 'K.4', 'G.1', 'D.2', 'G.1', 'D.4', 'F.3', 'C.2', 'D.2', 'K.4', 'J.1', 'F.3', 'D.2', 'G.1', 'I.4', 'J.2', 'F.3', 'I.4', 'F.1', 'F.4', 'E.1', 'G.2', 'D.4', 'H.3', 'H.5', 'E.3', 'D.2', 'D.2', 'J.2', 'G.1', 'B.2', 'B.4', 'B.3', 'H.2', 'J.1', 'D.3', 'G.1', 'I.2', 'I.3', 'I.1', 'I.5', 'D.3', 'D.3', 'I.2', 'I.5', 'C.1', 'J.2', 'E.3', 'D.3', 'D.2', 'I.2', 'F.1', 'G.1', 'J.6', 'D.3', 'H.3', 'F.4', 'D.3', 'I.6', 'J.1', 'B.2', 'B.4', 'B.3']"
59,"Goharian, Erfan","['B.7', 'C.4', 'G.1', 'G.2', 'B.7', 'F.1']"
60,"Gower, R. Michael","['B.4', 'A.0']"
61,"Gray, Joshua","['J.2', 'B.5', 'J.2', 'C.5', 'C.5', 'C.5', 'K.4', 'F.4', 'B.6', 'G.1', 'B.7', 'D.2', 'I.4', 'D.2', 'B.4', 'D.4', 'I.4', 'H.5', 'G.3', 'F.3', 'I.4', 'K.7', 'J.2', 'I.4', 'I.4', 'D.2', 'H.5', 'D.2', 'F.3', 'H.3', 'C.5', 'G.3', 'C.0', 'K.4', 'I.4', 'D.2', 'K.7', 'C.5', 'D.2', 'I.3', 'J.5', 'G.2', 'H.5', 'F.4', 'I.2', 'D.2', 'H.2', 'J.5', 'G.3', 'H.5', 'H.2', 'I.1', 'D.3', 'D.2', 'C.5', 'J.5', 'H.3', 'G.1', 'C.2', 'D.2', 'I.2', 'I.3', 'H.5', 'H.3', 'G.3', 'F.4', 'C.5', 'B.4', 'J.5', 'C.2', 'H.5', 'E.2', 'G.1', 'G.1', 'H.2', 'I.1', 'I.3', 'K.8', 'F.1', 'D.4', 'H.3', 'H.5', 'H.5', 'J.2', 'I.4', 'J.1', 'K.1', 'J.2', 'E.1', 'G.2', 'I.3', 'C.2', 'J.2', 'G.3', 'F.3', 'I.4', 'I.2', 'J.1', 'H.5', 'F.4', 'I.3', 'K.8', 'J.1', 'H.2', 'C.5', 'C.5', 'B.3', 'B.6', 'H.3', 'H.5', 'I.2', 'D.3', 'D.2', 'J.3', 'C.0', 'B.2', 'B.4', 'B.3', 'I.2', 'J.1', 'H.3', 'H.5', 'D.4']"
62,"Gross, Andrew J.","['E.3', 'G.1', 'E.3', 'H.4', 'H.5', 'G.1', 'K.4', 'C.2', 'F.3', 'I.2', 'G.3', 'D.3', 'E.5', 'G.1', 'J.5', 'I.2', 'G.1', 'F.2', 'H.3', 'E.4', 'K.4', 'G.3', 'H.3', 'H.5', 'H.4']"
63,"Gumina, Sharon","['D.4', 'K.6', 'D.2', 'H.2', 'I.1', 'K.3', 'K.3', 'D.4', 'F.3', 'F.1', 'G.3', 'J.1', 'K.7', 'I.2', 'H.4', 'K.4', 'H.3', 'H.5', 'J.6', 'C.2', 'C.2', 'I.7', 'D.2', 'C.2', 'G.3', 'H.1', 'J.1', 'F.3', 'C.2', 'H.2', 'H.2', 'H.5', 'F.4', 'D.3', 'B.2', 'B.4', 'B.3', 'H.1', 'C.0', 'I.7', 'D.2', 'D.4', 'K.4', 'C.2', 'B.6', 'I.6', 'F.4', 'D.2', 'F.4', 'H.2', 'C.0']"
64,"Gürdal, Zafer ","['I.5', 'I.4', 'I.5']"
65,"Haj-Hariri, Hossein ","['I.4', 'I.1', 'I.3', 'I.6', 'G.1', 'I.5', 'G.2', 'H.3', 'D.2']"
66,"Harik, Ramy","['I.4', 'I.3', 'I.2', 'B.2', 'B.4', 'B.3', 'B.3', 'J.1', 'G.1', 'J.1', 'G.2', 'J.1', 'J.2', 'J.1', 'B.2', 'B.4', 'B.3', 'E.3', 'J.3', 'C.2', 'C.2', 'K.3', 'K.3', 'I.4', 'J.7', 'J.1', 'K.3', 'K.3', 'E.1', 'B', 'H.5', 'J.1', 'E', 'C.2', 'C.2', 'H.2', 'J.2', 'D.2', 'J.6', 'J.7', 'I.4', 'I.3', 'K.8', 'C.2', 'C.2', 'D.2', 'F.1', 'B.6', 'H.5', 'H.3', 'B.7', 'J.6', 'J.1', 'C.5', 'H.5', 'F.3', 'K.5', 'B.1', 'B.5', 'B.7', 'B.6', 'F.2', 'H.2', 'C.2', 'C.2', 'I.4', 'H.2', 'B.1', 'B.5', 'B.7', 'B.6', 'G.1', 'C.2', 'H.2', 'C.2', 'C.2', 'G.1', 'B.5', 'F.3', 'J.2', 'D.2', 'C.2', 'K.6', 'I.2', 'F.1', 'B.6', 'A.0', 'B', 'F.1', 'B.6', 'B', 'D.2', 'H.5', 'D.2', 'A.0', 'H.4', 'J.1', 'G.1', 'J.4', 'H.2', 'H.5', 'C.2', 'K.3', 'K.3', 'B.2', 'B.4', 'B.3', 'D.3', 'I.4', 'B.3', 'K.4', 'I.2', 'B.4', 'E.3', 'J.1', 'C.2', 'J.1', 'H.5', 'K.4', 'K.4', 'A.0', 'I.2', 'E', 'J.2', 'H.2', 'J.2', 'D.2', 'H.5', 'J.2', 'H.3', 'H.5', 'D.3', 'F.2', 'G.1', 'C.2', 'G.1']"
67,"Henrich, Silke","['A.0', 'A.0', 'J.6']"
68,"Heyden, Andreas","['F.4', 'A.0', 'J.2', 'I.2', 'G.1']"
69,"Hikmet, Neset","['J.3', 'H.1', 'H', 'J.3', 'J.3']"
70,"Hoque, Shamia","['I.2', 'J.3', 'H.2', 'I.2']"
71,"Hu, Jianjun","['E.3', 'A.0', 'D.2', 'I.2', 'G.1']"
72,"Hu, Ming","['H.2', 'D.2', 'H.2', 'I.4', 'D.2', 'B.7', 'F.3', 'D.4', 'H.5', 'I.3', 'I.6', 'C.1', 'K.4', 'H.3', 'H.3', 'B.4', 'E.1', 'H.5', 'I.4', 'D.2', 'C.1', 'H.2', 'I.4', 'D.2', 'G.1', 'E.3', 'J.3', 'I.2', 'I.2', 'I.2', 'C.1', 'C.5', 'B.7', 'F.3', 'B.4', 'F.3', 'I.2', 'I.3', 'E.3']"
73,"Huang, Chin-Tser","['C.2', 'B.7', 'C.2', 'H.3', 'D.4', 'C.2', 'C.2', 'C.2']"
74,"Huang, Kevin ","['I.3', 'K.8', 'K.8', 'I.2', 'D.4', 'I.2', 'J.2']"
75,"Huang, Xinyu ","['I.4', 'E.2', 'I.2', 'D.2']"
76,"Huhns, Michael N.","['I.2', 'C.5', 'I.5', 'K.4', 'G.1']"
77,"Humphries, Wilfred Kenneth","['C.5', 'I.4', 'H.5', 'G.1', 'J.5', 'E.1', 'C.5', 'K.4', 'C.5', 'I.2', 'J.7', 'K.6', 'E.3', 'F.2', 'D.4', 'C.2', 'C.2', 'J.2', 'C.2', 'C.2', 'D.3', 'C.2', 'I.5', 'C.2', 'G.1', 'J.2', 'H.5', 'F.4', 'D.3', 'K.7', 'D.3', 'D.2', 'K.7', 'G.3', 'G.1', 'J.1', 'K.6', 'J.2', 'E.3', 'E.3', 'K.4', 'C.2', 'G.1', 'I.4', 'D.3', 'K.4', 'K.4', 'J.1', 'H.3', 'I.2', 'J.1', 'H.3', 'I.4', 'I.2', 'D.2', 'J.2', 'K.4', 'B.1', 'C.0', 'K.4', 'K.4', 'C.2', 'B.4', 'F.2', 'I.4', 'E.3', 'I.2', 'J.1', 'I.2', 'K.4', 'K.4', 'J.2', 'B.2', 'B.4', 'B.3']"
78,"Huray, Paul G.","['H.2', 'D.4', 'B.6', 'B.6']"
79,"Huynh, Nathan","['E.3', 'J.3', 'H.4', 'D.2', 'K.8']"
80,"Imran, Jasim","['F.1', 'I.2', 'B.3', 'B.3', 'G.1', 'I.4', 'G.3', 'G.1', 'C.5', 'I.2', 'K.8', 'K.8', 'H.5']"
81,"Jabbari, Esmaiel","['D.2', 'D.2', 'A.0']"
82,"Jabbarzadeh, Ehsan","['J.2', 'G.1', 'G.1', 'I.2', 'J.1', 'I.6', 'A.0', 'B.4', 'I.2', 'B.4', 'B.6', 'B.4', 'I.2', 'I.1', 'J.5', 'J.2', 'I.2', 'B.1', 'B.5', 'B.7', 'B.6', 'B.6', 'I.3', 'K.8', 'B.6', 'B.6', 'I.2', 'J.1', 'D.3', 'J.5', 'H.5', 'I.2', 'J.1', 'G.1', 'G.1', 'J.7', 'H.3', 'H.5', 'H.5', 'C.5', 'G.1', 'I.4', 'F.2', 'H.2', 'B.7', 'I.4', 'G.1', 'J.2', 'B.4', 'A.0', 'C.5', 'B.7', 'D.2', 'F.4', 'D.2', 'H.5', 'G.1', 'I.2', 'H.3', 'H.5', 'A.0', 'A.0', 'D.3', 'K.3', 'I.3', 'C.2', 'H.5', 'C.2', 'C.1', 'B.3', 'H.2', 'H.5', 'B.5', 'H.3', 'H.3', 'I.5', 'F.4', 'E.1', 'D.2', 'I.2', 'D.3', 'G.1', 'H.2', 'I.3', 'D.3', 'B.4', 'A.0', 'F.4', 'I.4', 'K.3', 'K.3', 'H.3', 'G.3', 'G.1', 'D.3', 'B.4', 'I.5', 'G.2', 'H.5', 'F.3', 'A.0', 'B.3', 'F.4', 'I.6', 'F.1', 'D.2', 'H.3', 'H.1', 'H.2', 'D.4', 'E.2', 'I.3', 'D.2', 'G.1', 'D.2', 'D.2', 'F.3', 'G.1', 'J.2']"
83,"Jalilvand, Golareh","['H.2', 'B.6', 'B.7', 'B.5', 'H.2', 'G.1', 'G.1', 'J.2', 'C.5', 'B.7', 'K.3', 'D.2', 'D.2', 'E.3', 'J.2', 'E.5', 'E.3', 'G.1', 'K.5', 'I.2', 'H.3', 'K.8', 'H.5', 'K.4', 'C.1', 'D.2', 'G.1', 'H.5', 'J.2', 'B.4', 'C.1', 'J.2', 'B.6', 'B.7', 'B.5', 'I.3', 'E.3', 'I.4', 'D.2', 'I.2', 'D.4', 'G.2', 'C.2', 'H.2', 'K.3', 'B.7', 'H.5', 'A.2', 'K.4', 'B.4', 'C.2', 'H.2', 'H.5', 'B.4', 'B.7', 'I.2', 'H.5', 'I.5', 'C.1', 'I.4', 'C.2', 'C.5', 'C.5', 'B.7', 'B.4', 'H.5', 'K.7', 'I.2', 'E.1', 'J.2', 'I.2', 'C.5', 'H.5', 'C.5', 'G.1', 'F.2', 'I.4', 'D.2', 'H.3', 'F.1', 'G.1', 'G.1', 'J.2', 'H.5', 'F.3', 'B.7', 'D.2', 'B.6', 'I.3', 'F.3', 'J.2', 'C.5', 'B.7', 'K.4', 'I.4', 'C.2', 'K.4', 'K.6', 'D.2', 'I.2', 'J.1', 'C.5', 'B.7', 'A.0', 'E.5', 'H.5', 'H.3', 'H.5', 'D.3', 'G.1', 'H.3', 'D.2', 'J.1', 'G.1', 'B.2', 'B.4', 'B.3', 'F.2', 'E.5', 'K.4', 'C.2', 'C.1', 'F.4', 'C.5', 'B.6', 'B.7', 'B.5', 'C.5', 'B.7', 'H.2', 'F.3', 'H.5']"
84,"Jamshidi, Pooyan ","['B.7', 'B.7', 'I.2', 'I.2', 'I.2', 'C', 'I.2', 'I.2']"
85,"Kanapala, Neema ","['I.2', 'H.1', 'B.2', 'B.4', 'B.3', 'I.4', 'I.5', 'C.1', 'I.5', 'C.1']"
86,"Karakalos, Stavros G.","['C.2', 'I.5', 'C.1', 'H.5', 'I.2', 'J.1', 'H.5', 'H.1', 'B.3', 'H.5', 'B.2', 'B.4', 'B.3', 'I.2', 'F.3', 'K.4', 'I.2', 'F.3', 'I.3', 'E.3', 'C.2', 'H.2', 'D.4', 'I.5', 'J.2', 'K.3', 'K.3', 'H.5', 'I.4', 'I.2', 'I.5', 'F.3', 'F.4', 'C.1', 'D.4', 'D.4', 'G.1', 'I.5', 'C.1', 'J.7', 'J.6', 'J.1', 'F.4', 'I.2', 'H.5', 'D.3', 'I.3', 'D.2', 'D.2', 'H.5', 'I.5', 'G.1', 'G.1', 'D.2', 'I.2', 'G.1', 'J.6', 'I.2', 'F.3', 'I.2', 'G.1', 'I.5', 'C.1', 'D.3', 'I.3', 'D.2', 'K.6', 'D.4', 'H.5', 'K.3', 'K.3', 'D.4', 'D.2', 'J.6', 'E.2', 'D.2', 'E.3', 'I.2', 'C.1', 'H.5', 'C.2', 'J.7', 'H.5', 'I.5', 'J.6', 'H.3', 'H.5', 'D.2', 'I.3', 'J.7', 'C.1', 'G.1', 'I.4', 'D.2', 'H.1', 'C.1', 'C.2', 'C.2', 'G.2', 'H.5', 'B.4', 'I.3', 'H.5', 'J.6', 'F.4', 'I.2', 'E.3', 'H.3', 'G.1', 'J.7', 'J.6', 'F.3', 'D.4', 'E.2', 'I.3', 'H.5', 'H.3', 'H.5', 'I.7', 'I.4', 'D.2', 'C.1']"
87,"Karakchi, Rasha","['C.2', 'C.1', 'I.5', 'D.2']"
88,"Khan, Asif","['H.2', 'D.4', 'B.6', 'B.6']"
89,"Khan, Jamil   A.","['J.1', 'J.3', 'B.4', 'I.4', 'E.3', 'G.3', 'D.2', 'D.2', 'J.6', 'F.4', 'I.2', 'C.5', 'B.7', 'H.5', 'I.2', 'D.2', 'G.2', 'I.2', 'B.4', 'E.3', 'I.2', 'I.3', 'F.3', 'H.3', 'I.1', 'H.3', 'C.5', 'B.7', 'H.3', 'D.2', 'J.2', 'F.4', 'I.2', 'I.1', 'J.3', 'G.3', 'F.4', 'I.2', 'J.3', 'D.2', 'I.2', 'F.4', 'J.6', 'K.5', 'I.6']"
90,"Kidane, Addis ","['I.2', 'K.6', 'C.1', 'B.4', 'I.2', 'H.3', 'H.3']"
91,"Knight, Travis W.","['D.2', 'E.3', 'F.1', 'E.3', 'G.3', 'I.2', 'G.1', 'H.3', 'H.5', 'B.7', 'G.1', 'G.1', 'G.1', 'G.1', 'I.2', 'J.5', 'D.2', 'I.2', 'F.1', 'G.1']"
92,"Koppel, Tarmo","['J.3', 'C.3', 'D.4', 'B.3', 'C.2', 'J.3', 'D.4', 'C.2', 'D.4', 'I.4', 'H.5', 'C.3', 'B.4', 'J.7', 'D.2', 'I.3', 'D.4', 'F.3', 'I.3', 'K.8', 'J.1', 'H.5', 'C.2', 'C.2', 'I.4', 'H.4', 'K.4', 'C.0', 'D.2']"
93,"Lauterbach, Jochen","['G.1', 'C.2', 'C.2', 'C.1', 'C.2', 'C.2', 'D.2', 'I.2', 'C.2']"
94,"Lee, Dongkyu","['I.4', 'D.2', 'H.5', 'C.2']"
95,"Lessner , Susan M.","['F.1', 'I.2', 'J.3', 'F.1', 'H.0', 'I.0', 'B.6', 'F.3', 'D.1', 'A.0', 'C.1', 'B.2', 'I.6', 'H.3', 'K.3', 'D.4', 'B.3', 'I.3', 'B.5', 'I.4', 'B.7', 'C.2', 'B.1', 'G.2', 'K.7', 'G.0', 'I.5', 'D.3', 'H.4', 'K.6', 'K.5', 'F.0', 'B.4', 'F.4', 'I.7', 'C.0', 'F.2', 'B.0', 'I.1', 'H.1', 'E.0', 'D.2', 'H.5', 'C.5', 'K.4', 'J.0', 'H.2', 'G.1', 'K.0', 'K.8', 'D.0', 'I.2', 'D.3', 'C.2', 'C.2', 'F.1', 'H.2', 'K.5', 'I.3', 'D.2', 'J.2', 'F.3', 'F.3', 'G.1', 'A.0', 'I.5', 'C.1', 'I.1', 'C.2', 'H.5', 'F.3', 'F.4', 'F.4', 'D.4', 'I.2', 'B.7', 'H.2', 'J.3', 'D.4', 'D.4', 'H.5', 'A.0', 'D.3', 'H.1', 'H.5', 'J.3', 'J.3', 'D.3', 'I.2', 'J.6', 'F.2', 'I.2', 'H.2', 'A.1', 'H.2', 'F.2', 'K.4', 'K.4', 'I.2', 'I.2', 'C.5', 'G.1', 'D.2', 'C.2', 'I.2', 'F.3', 'C.2', 'C.2', 'I.2', 'K.8', 'H.5', 'G.1', 'J.2', 'I.2', 'J.5', 'I.2', 'F.3', 'F.3', 'C.2', 'C.2', 'F.3', 'F.4', 'D.3', 'I.2', 'H.2', 'F.3', 'I.2', 'J.1', 'E.3', 'G.1', 'F.2', 'I.2', 'I.5', 'A.0', 'C.2', 'C.2', 'D.2', 'C.2', 'F.4', 'K.3', 'K.3', 'K.4', 'F.2', 'I.4', 'D.4', 'D.3', 'I.5', 'G.1', 'H.5', 'H.3', 'H.5', 'I.5', 'C.1', 'H.3', 'H.5', 'D.2', 'D.2', 'G.1', 'I.4', 'D.2', 'J.5', 'H.1', 'C.0', 'I.2', 'J.5', 'K.3', 'A.0', 'A.0', 'D.2', 'G.1', 'J.5', 'H.2', 'I.2', 'A.0', 'K.4', 'K.4', 'C.5', 'B.7', 'I.1', 'I.4', 'D.2', 'G.1', 'F.3', 'F.2', 'F.3', 'G.3', 'F.3', 'F.2', 'E.3', 'G.1', 'I.1']"
96,"Lewis, Jeremy ","['I.2', 'B.2', 'B.4', 'B.3', 'D.2', 'I.2', 'D.2', 'H.1']"
