,researcher,skill_categories
13,"Blanchette, James  Otto","['H.2', 'J.1', 'F.1', 'H.0', 'I.0', 'B.6', 'F.3', 'D.1', 'A.0', 'C.1', 'B.2', 'I.6', 'H.3', 'K.3', 'D.4', 'B.3', 'I.3', 'B.5', 'I.4', 'B.7', 'C.2', 'B.1', 'G.2', 'K.7', 'G.0', 'I.5', 'D.3', 'H.4', 'K.6', 'K.5', 'F.0', 'B.4', 'F.4', 'I.7', 'C.0', 'F.2', 'B.0', 'I.1', 'H.1', 'E.0', 'D.2', 'H.5', 'C.5', 'K.4', 'J.0', 'H.2', 'G.1', 'K.0', 'K.8', 'D.0', 'I.2', 'B.6', 'D.2', 'D.4', 'I.2', 'H.2', 'B.1', 'B.5', 'B.7', 'B.6', 'D.4', 'I.2', 'I.4', 'I.4', 'D.2', 'J.5', 'B.6', 'I.5', 'C.0', 'K.6', 'C.2', 'D.2', 'I.5', 'J.2', 'D.2', 'D.3', 'F.4', 'D.3', 'K.6', 'I.2', 'F.3', 'I.2', 'G.1', 'H.1', 'K.4', 'C.2', 'C.2', 'I.4', 'D.2', 'I.2', 'B.6', 'C.0', 'J.2', 'H.3', 'G.2', 'G.2', 'C.2', 'B.1', 'B.5', 'B.7', 'B.6', 'C.2', 'B.6', 'J.2', 'H.5', 'D.2', 'I.3', 'G.1', 'K.6', 'H.5', 'I.3', 'F.3', 'I.2', 'D.2', 'G.1', 'F.2', 'G.1', 'H.5', 'F.4', 'J.2', 'G.1', 'K.3', 'G.1', 'G.1', 'H.2', 'B.6', 'B.6', 'G.3', 'G.1', 'I.4', 'D.2', 'I.2', 'K.7']"
14,"Boltin, Nicholas D.","['E.3', 'D.3', 'D.2', 'H.3', 'G.1', 'H.5', 'I.2', 'J.1', 'E.1', 'G.2', 'I.1', 'I.4', 'K.3', 'F.1', 'H.1', 'D.2', 'K.4', 'K.4', 'H.3', 'E.5', 'H.5', 'F.1', 'D.2', 'A.2', 'H.1', 'H.5', 'C.5', 'F.1', 'J.7', 'H.2', 'H.3', 'K.4', 'K.4', 'H.4', 'H.5', 'H.2', 'I.2', 'K.4', 'E.3', 'D.2', 'G.3', 'J.6', 'K.3', 'H.5', 'H.4', 'I.2', 'J.5', 'I.2', 'H', 'H.5', 'J.3', 'C.5', 'C.2', 'C.4', 'H.5', 'H.2', 'D.3', 'K.1', 'B.2', 'B.4', 'B.3', 'H.1', 'D.2', 'J.2', 'K.6', 'H.1', 'H.5', 'H', 'H.1', 'D.3', 'I.5', 'I.4', 'B.1', 'B.5', 'B.7', 'B.6', 'F.4', 'C.1', 'K.6', 'D.2', 'D.3', 'D.2', 'H.2', 'C.2', 'K.4', 'B.1', 'B.5', 'B.7', 'B.6', 'C.1', 'H.5', 'F.4', 'B.2', 'B.4', 'B.3', 'F.2', 'F.3', 'H.3', 'H.5', 'I.1', 'K.1', 'I.3', 'K.8', 'I.2', 'A.2', 'G.4', 'C.2', 'K.1', 'I.4', 'I.4', 'I.5', 'K.3', 'K.1', 'B.3', 'H.2']"
15,"Booth, Kristen","['D.2', 'K.8', 'H.5', 'K.8', 'I.2', 'I.2', 'D.2', 'I.2', 'J.2', 'D.2', 'D.2']"
16,"Brookshire, Robert G., Ph.D.","['H.3', 'C.2', 'K.4', 'D.2', 'D.2', 'K.6', 'H.5', 'B.3', 'K.7', 'H.5', 'C.4', 'K.4', 'H.2', 'K.4', 'H.3', 'H.5', 'I.2', 'B.2', 'B.4', 'B.3', 'D.2', 'H.3', 'K.4', 'H.1', 'K.1', 'C.5', 'D.2', 'D.2', 'K.4', 'C.2', 'D.3', 'F.3', 'H.5', 'H.2', 'D.2', 'I.4', 'J.1', 'B.2', 'B.4', 'B.3', 'D.2', 'C.3', 'K.5', 'F.3', 'G.1', 'G.1', 'G.1', 'H.2', 'B.3', 'D.4', 'K.6', 'I.4', 'D.2', 'H', 'F.4', 'D.3', 'D.2', 'H.5', 'D.2', 'D.2', 'J.3', 'H.2', 'K.5', 'B.7', 'D.4', 'I.5', 'C.1', 'I.4', 'I.3', 'I.2', 'H.3', 'D.2', 'H.2', 'J.2', 'D.4', 'K.6', 'D.2', 'I.2', 'I.4', 'I.1', 'I.3', 'I.6', 'G.1', 'I.5', 'G.2', 'D.4', 'K.4', 'C.2', 'H.2', 'C.2', 'I.4', 'H.2', 'H.2']"
17,"Broughton, Earnie","['J.7', 'K.4', 'I.4', 'I.2', 'H.5', 'K.4', 'F.4', 'B.7', 'K.3', 'K.3', 'D.2', 'B.2', 'B.4', 'B.3', 'K.4', 'K.6', 'E.1', 'D.4', 'B.3', 'K.6', 'K.4', 'G.3', 'B.1', 'B.6', 'B.2', 'B.3', 'B.4', 'B.7', 'B.5', 'I.2', 'F.4', 'E', 'K.6', 'K.6', 'B.1', 'J.2', 'C.5', 'C.5', 'J.2', 'D.2', 'F.4', 'G.3', 'D.3', 'K.7', 'I.2', 'B.7', 'K.6', 'B.1', 'B.5', 'B.7', 'B.6', 'F.4', 'C.0', 'H.2', 'F.3', 'B.7', 'D.2', 'C.3']"
18,"Buell, Duncan A.","['K.5', 'J.5', 'I.5', 'C.1', 'F.2', 'I.2', 'H.4', 'H.5', 'J.2', 'I.1', 'I.2', 'F.4', 'B.2', 'B.4', 'B.3', 'C.1', 'C.2', 'D.2', 'I.3', 'F.2', 'D.2', 'I.2', 'H.5', 'I.5', 'C.1', 'H.5', 'K.6', 'I.4', 'H.5', 'I.2', 'H.4', 'D.2', 'I.4', 'C.2', 'F.2', 'G.1', 'H.5', 'I.5', 'D.4', 'K.3', 'C.1', 'G.3', 'K.4', 'B.5', 'F.1', 'H.2', 'D.2', 'I.5', 'H.3', 'K.5', 'G.1', 'D.4', 'K.6', 'K', 'D.2', 'H.5', 'D.3', 'B.4', 'G.1', 'K.6', 'F.3', 'G.1', 'I.5', 'C.1', 'H.2', 'J.6', 'H.5', 'D.2', 'I.2', 'I.2', 'G.4', 'I.2', 'C.1', 'G.2', 'G.1', 'G.2', 'K.1', 'H.3', 'C.2', 'H.4', 'I.3', 'H.3', 'C.5', 'B.4', 'D.4', 'I.5', 'C.2', 'D.2', 'D.2', 'H.5', 'G.1', 'K.3', 'K.3', 'I.3', 'I.3', 'G.1', 'B.1', 'C.2', 'C.2', 'I.3', 'I.2', 'H.2', 'G.1', 'I.2', 'I.4', 'H.3', 'H.2', 'C.5', 'K.7', 'H.3', 'H.5', 'B.4', 'I.5', 'C.1', 'K.7', 'I.2', 'H.4', 'H.2', 'K.7', 'I.3', 'K.8', 'K.6', 'G.1', 'K.5', 'F.4', 'D.3', 'I.2', 'H.4', 'J.2', 'K.7', 'G.1', 'D.3', 'G.1', 'I.3', 'H.5', 'D.2', 'H.5', 'G.3', 'J.2', 'I.2', 'J.2', 'D.2', 'I.1', 'H.5', 'I.2', 'I.2', 'I.1', 'I.4', 'I.4', 'K.6', 'F.3', 'C.5', 'F.2', 'K.6', 'I.5', 'B.4', 'B.6', 'B.7', 'B.5', 'I.2', 'K.4', 'G.1', 'G']"
19,"Caicedo, Juan","['K.4', 'K.4', 'I.5', 'J.5', 'I.2', 'J.3', 'J.2', 'I.5', 'I.5', 'J.2', 'C.2', 'C.2', 'G.3', 'J.5', 'I.5', 'I.2', 'J.1', 'J.4', 'C.0', 'D.3', 'J.2', 'C.2', 'D.2', 'J.2', 'B.5', 'E.3', 'I.2', 'I.2', 'J.4', 'C.2', 'I.5', 'G.3', 'G.1', 'J.2', 'F.4', 'I.2', 'E.3', 'I.5', 'K.3', 'C.2', 'J.2', 'E.1', 'B.5', 'K.6', 'J.1', 'J.4', 'J.2', 'J.4', 'K.3', 'F.3', 'I.5', 'I.2', 'J.2', 'D.2']"
20,"Carrilho, Leo ","['I.4', 'G.2', 'F.3', 'E.3', 'I.3', 'E.3', 'I.2', 'H.3', 'H.5', 'B.1', 'B.5', 'B.7', 'B.6', 'H.3', 'D.2', 'D.3', 'H.3', 'H.5', 'I.2', 'I.6', 'I.5', 'G.1', 'J.2', 'J.6', 'I.2']"
21,"Carver, Wayne","['K.4', 'K.5', 'K.4', 'K.4', 'F.1', 'H.0', 'I.0', 'B.6', 'F.3', 'D.1', 'A.0', 'C.1', 'B.2', 'I.6', 'H.3', 'K.3', 'D.4', 'B.3', 'I.3', 'B.5', 'I.4', 'B.7', 'C.2', 'B.1', 'G.2', 'K.7', 'G.0', 'I.5', 'D.3', 'H.4', 'K.6', 'K.5', 'F.0', 'B.4', 'F.4', 'I.7', 'C.0', 'F.2', 'B.0', 'I.1', 'H.1', 'E.0', 'D.2', 'H.5', 'C.5', 'K.4', 'J.0', 'H.2', 'G.1', 'K.0', 'K.8', 'D.0', 'I.2', 'B.3', 'D.2', 'I.6', 'I.3', 'E.3', 'J.3', 'D.3', 'G.3', 'D.2', 'I.2', 'C.1', 'F.1', 'K.5', 'B.6', 'B.4', 'I.1', 'G.1', 'K.4', 'K.5', 'I.4', 'B.4', 'K.1', 'J.2', 'I.2', 'I.2', 'I.4', 'D.2', 'G.1', 'K.3', 'K.3', 'I.2', 'B.6', 'H.4', 'C.1', 'H.2', 'H.5', 'I.4', 'H.2', 'F.4', 'I.2', 'I.2', 'I.1', 'I.5', 'H.2', 'B.4', 'G.3', 'H.3', 'H.5', 'C.2', 'J.5', 'I.2', 'E.2', 'B.6', 'G.1', 'F.1', 'G.1', 'B.4', 'D.3', 'B.6', 'B.4', 'D.4', 'F.3', 'H.3', 'D.2', 'H.2', 'J.3', 'J.3', 'F.3', 'K.6', 'G.1', 'B.4', 'B.4', 'H.5', 'I.7', 'D.4', 'D.4', 'J.3', 'D.4', 'D.3', 'C.2', 'K.3', 'G.1', 'H.4', 'H.2', 'B.6', 'I.4', 'C.2', 'C.2', 'C.5', 'H.5', 'I.1', 'I.5', 'G.1', 'H.5', 'I.4', 'F.3', 'C.5', 'J.3', 'J.2', 'I.4', 'D.2', 'G.1', 'B.4', 'I.2', 'G.3', 'I.2', 'J.1', 'G.1', 'H.2']"
22,"Chandrashekhar, MVS","['K.8', 'H.5', 'A.0', 'J.2', 'K.4', 'C.1']"
