researcher_name,avg_goodness_per_row,volume,row_count
"Agostinelli, Forest",0.45857,5.444444,432
"Ahmad, Iftikhar",0.459006,5.592593,432
"Alexeev, Oleg S.",0.462573,5.025463,432
"Ali, Mohammod",0.464126,4.655093,432
"Ammal, Salai C.",0.441245,5.840278,432
"Bakos, Jason D. ",0.452238,5.821759,432
"Banerjee, Sourav ",0.441504,5.458333,432
"Bayat, Mahmoud",0.454413,5.668981,432
"Bayoumi, Abdel-Moez E. ",0.44396,3.412037,432
"Benigni, Andrea",0.440736,5.886574,432
"Berge, Nicole D.",0.455622,4.016204,432
"Besmann, Theodore  M.",0.443025,5.875,432
"Bischoff, Jeff ",0.457956,5.44213,432
"Blanchette, James  Otto",0.453235,3.944444,432
"Boltin, Nicholas D.",0.454046,4.013889,432
"Booth, Kristen",0.442814,5.87963,432
"Brookshire, Robert G., Ph.D.",0.461855,4.483796,432
"Broughton, Earnie",0.462155,5.013889,432
"Buell, Duncan A.",0.450838,3.606481,432
"Caicedo, Juan",0.460052,4.650463,432
"Carrilho, Leo ",0.449923,5.731481,432
"Carver, Wayne",0.460575,5.020833,432
"Chandrashekhar, MVS",0.437897,5.460648,432
"Chao, Yuh J. ",0.459134,5.046296,432
"Chaudhry, Hanif",0.452155,5.796296,432
"Chen, Fanglin (Frank)",0.458798,5.532407,432
"Chen, Yinchao",0.440736,5.886574,432
"Chen, Yuche",0.455242,5.763889,432
"Cheng, Xu",0.453896,5.206019,432
"Cole, Casey",0.445558,5.770833,432
"Coman, Paul",0.440374,5.780093,432
"Crichigno, Jorge",0.455149,5.763889,432
"Cui, Taixing",0.444486,5.74537,432
"De Backer, Wout",0.445847,5.826389,432
"Deng, Xiaomin ",0.45298,5.601852,432
"Devereux, Emily",0.464335,4.715278,432
"Dillon, Anthony L",0.462387,5.43287,432
"Dougal, Roger A.",0.457242,3.974537,432
"Downey, Austin",0.449643,5.819444,432
"Dryer, Frederick  L. ",0.44892,3.344907,432
"Eastman, Caroline M. ",0.460015,4.722222,432
"Eberth, John F.",0.452155,5.706019,432
"Ebner, Armin D.",0.456398,4.805556,432
"Eslambolchi Moghadam, Sara",0.44223,5.726852,432
"Fan, Daping",0.466109,4.597222,432
"Farkas, Csilla ",0.4505,5.835648,432
"Farouk, Tanvir   I.",0.45989,5.37963,432
"Fenner, Stephen A. ",0.459442,5.636574,432
"Fiedler, Kirk",0.451627,5.791667,432
"Flora, Joseph",0.458695,5.615741,432
"Gadala-Maria, Francis",0.450581,5.798611,432
"Gassman, Sarah",0.451297,5.324074,432
"Gatzke, Edward P.",0.458359,4.155093,432
"Gerdes, Jr., John H.",0.459649,4.310185,432
"Gholizadeh, Sona",0.452204,5.648148,432
"Gibbons, Joseph H.",0.440428,5.877315,432
"Ginn, Herbert L.",0.442882,5.849537,432
"Giurgiutiu (Jurjutzu), Victor",0.459549,5.106481,432
"Glenn Jr., Odell",0.463488,4.731481,432
"Goharian, Erfan",0.443581,5.662037,432
"Gower, R. Michael",0.453892,5.752315,432
"Gray, Joshua",0.444277,3.326389,432
"Gross, Andrew J.",0.454642,5.268519,432
"Gumina, Sharon",0.461419,4.541667,432
"Gürdal, Zafer ",0.441049,5.884259,432
