researcher_name,avg_goodness_per_row,volume,row_count
"Rhodes, Curtis ",0.418226,10.0,434
"Ritter, James A.",0.413976,10.0,434
"Rizos, Dimitris",0.461227,10.0,434
"Roberts, Elwyn",0.408424,10.0,434
"Roberts, Kenneth L",0.409299,10.0,434
"Rocheleau, David ",0.485573,10.0,434
"Rose, John R. ",0.488589,10.0,434
"Sabalowsky, Andrew",0.432682,10.0,434
"Sadati, Monirosadat (Sanaz)",0.475519,10.0,434
"Sahin, Alphan ",0.406496,10.0,434
"Santi, Enrico",0.476113,10.0,434
"Sasanakul, Inthuorn",0.402783,10.0,434
"Schooley, Benjamin",0.40741,10.0,434
"Shazly, Tarek ",0.493436,10.0,434
"Shepherd, Jeremiah",0.411417,10.0,434
"Sheth, Amit",0.405179,10.0,434
"Shimpalee, Sirivatch",0.458968,10.0,434
"Simin, Grigory",0.412133,10.0,434
"Smoak, Wilson",0.434498,10.0,434
"Sockalingam, Subramani ",0.411186,10.0,434
"Spinale, Frank G.",0.477773,10.0,434
"Srivastava, Biplav",0.410687,10.0,434
"Stanford, Thomas G.",0.42191,10.0,434
"Stiffler, Nick",0.403605,10.0,434
"Sudarshan, Tangali S.",0.411635,10.0,434
"Summers, Bill ",0.473308,10.0,434
"Sur, Sanjib ",0.408786,10.0,434
"Sutton, Michael",0.42272,10.0,434
"Taheri-Qazvini, Nader ",0.404562,10.0,434
"Tan, Wenbin",0.400799,10.0,434
"Tang, Chuanbing",0.402671,10.0,434
"Tang, Jijun",0.410493,10.0,434
"Thatcher, Matt E. ",0.422879,10.0,434
"Tong, Yan",0.422304,10.0,434
"Tooren, Michel  van",0.424081,10.0,434
"Uline, Mark J.",0.404233,10.0,434
"Valafar, Homayoun",0.412693,10.0,434
"Valtorta, Marco",0.405968,10.0,434
"Van Brunt, Vincent",0.414658,10.0,434
"Vargas, Juan",0.421629,10.0,434
"Vidal, Jose M. ",0.407518,10.0,434
"Viparelli, Enrica",0.410175,10.0,434
"Vitzilaios, Nikolaos (Nikos)",0.424088,10.0,434
"Vogt, Thomas",0.41047,10.0,434
"Wang, Guiren",0.404099,10.0,434
"Wang, Guoan",0.412481,10.0,434
"Wang, Song",0.403997,10.0,434
"Wang, Xiaofeng",0.41141,10.0,434
"Wang, Yi",0.471234,10.0,434
"Wei, Xiaojun",0.404753,10.0,434
"Wells, James R.",0.47061,10.0,434
"White, Ralph E.",0.401403,10.0,434
"Williams, Christopher",0.48671,10.0,434
"Won, Sang Hee",0.411423,10.0,434
"Wu, Dezhi",0.415474,10.0,434
"Xu, Songhua",0.443902,10.0,434
"Xue, Xingjian (Chris) ",0.430146,10.0,434
"Yoon, Yeomin",0.406715,10.0,434
"Yu, Lingyu ",0.40694,10.0,434
"Yuan, Lang",0.407354,10.0,434
"Zand, Ramtin",0.434269,10.0,434
"Zhang, Bin",0.41039,10.0,434
"Zhang, Qi",0.432655,10.0,434
"Zhou, Caizhi",0.412127,10.0,434
"Ziehl, Paul",0.462296,10.0,434
